case_id,source,case_label,language,case_type,source_packet_required
ZZ_XIANG_7,Zuo zhuan,"Xiang 7, 三卜郊不從",Classical Chinese,divination,yes
ZZ_MIN_1,Zuo zhuan,"Min 1, 畢萬筮仕於晉",Classical Chinese,divination,yes
ZZ_XI_4,Zuo zhuan,"Xi 4, 初，晉獻公欲以驪姬為夫人：卜筮相違",Classical Chinese,divination,yes
ZZ_ZHUANG_22,Zuo zhuan,"Zhuang 22, 陳厲公生敬仲：卜妻與周易觀之否",Classical Chinese,divination,yes
MAC_1_3,Macbeth,"Act 1.3, witches' prophecy and Cawdor confirmation",English,prophecy,yes
MAC_4_1,Macbeth,"Act 4.1, apparition prophecies",English,prophecy,yes
MAC_5_8,Macbeth,"Act 5.8, Macduff disclosure and double sense",English,fulfilled_prophecy,yes
GROVE_TAJOMARU,In a Grove,Tajōmaru's testimony,Japanese,testimony,yes
GROVE_MASAGO,In a Grove,Masago's testimony,Japanese,testimony,yes
GROVE_TAKEHIRO,In a Grove,Takehiro's posthumous testimony,Japanese,testimony,yes
