category pair,predicted source of confusion,counterfactual test intended to distinguish them,expected direction of error,whether the pair has prior positive examples,whether the prediction is symmetric or directional
"cue_function -> operation_function","A cue type such as prophecy, testimony, or divination may be mistaken for the visible act performed with it.","Ask whether the problem is what this cue type does here, or what an act of interpretation, consultation, confession, recognition, or self-reading does.","Reserved cue_function may be overused when operation_function is the more specific locus.","operation_function has prior positive examples; cue_function has no positive demo example","directional"
"cue_function -> warrant_attribution","A cue family may be confused with the source or medium receiving warranting force.","Ask whether the cue type itself is underdetermined after excluding more specific loci, or whether one source, sign, medium, speaker, or result is granted standing.","Reserved cue_function may be overused when warrant_attribution is the more specific locus.","warrant_attribution has prior positive examples; cue_function has no positive demo example","directional"
"warrant_attribution -> warrant_relation","A single source granted authority may be confused with an interaction among multiple warrants.","Count the warrants: if the annotation depends on how more than one warrant interacts, use warrant_relation; if one source receives authority, use warrant_attribution.","One-warrant cases may be overcoded as warrant_relation when contextual complexity is present.","both have prior positive examples","symmetric"
"warrant_attribution -> operation_function","Authority is often assigned through an interpretive act, so granting standing may be confused with visible operation.","If evidence becomes usable as a warrant through the operation, prefer warrant_attribution; if evidence already has standing and the function depends on handling it, prefer operation_function.","Warrant attribution may be overcoded as operation_function when interpretation is visibly present.","both have prior positive examples","symmetric"
"warrant_relation -> temporal_layering","Cross-warrant conflict may coexist with retrospective framing or later readability.","If removing cross-warrant conflict removes the function, prefer warrant_relation; if removing the later temporal frame removes it, prefer temporal_layering.","Warrant conflicts in retrospectively framed cases may be mistaken for temporal_layering, or temporal effects may be flattened into warrant_relation.","both have prior positive examples","symmetric"
"warrant_relation -> perspective_assignment","Incompatible testimony or standpoint can look like conflict among warrants or like perspective control.","Ask whether incompatibility among multiple warrants determines the function, or whether changing the speaker/testimonial position would change the annotation.","Perspective-governed testimony may be overcoded as warrant_relation when multiple accounts are visible.","both have prior positive examples","symmetric"
"operation_function -> warrant_relation","An operation can matter because it performs conversion or because it creates, exposes, ranks, or intensifies relations among warrants.","If the operation itself performs the conversion, prefer operation_function; if it mainly relates multiple warrants, prefer warrant_relation.","Operations that rank warrants may be overcoded as operation_function when warrant_relation is dominant.","both have prior positive examples","symmetric"
"operation_function -> temporal_layering","Recognition or fulfilment can be treated as a local operation or as later reclassification of earlier evidence.","If the local operation produces the function, prefer operation_function; if a later moment reclassifies earlier evidence, prefer temporal_layering.","Later reclassification may be overcoded as operation_function when a recognition scene is visible.","both have prior positive examples","symmetric"
"boundary_setting -> warrant_relation","A scope or unit boundary may be confused with the relation among warrants inside a stable unit.","Ask whether changing the boundary of the annotation would change the result; if the boundary is stable but warrants interact, use warrant_relation.","Boundary_setting may be underused when coders move directly to warrant_relation inside an unstable unit.","warrant_relation has prior positive examples; boundary_setting has no positive demo example","directional"
"boundary_setting -> context_inference","A missing boundary may be confused with a missing contextual bridge.","Ask whether the relevant unit/scope is unstable, or whether the unit is stable but needs external contextual inference to support conversion.","Boundary problems may be absorbed into context_inference as a residual explanation.","neither boundary_setting nor context_inference has a positive demo example in the cited manual lineage","directional"
"temporal_layering -> warrant_relation","Later fulfilment, retrospective readability, or reuse may coexist with local warrant conflict.","If removing the later temporal frame removes the function, prefer temporal_layering; if removing cross-warrant conflict removes it, prefer warrant_relation.","Temporal_layering may be undercoded when later readability appears alongside multiple warrants.","both have prior positive examples","symmetric"
"temporal_layering -> operation_function","A visible recognition or fulfilment scene can look like a local operation.","If the function is produced by local operation, prefer operation_function; if a later moment reclassifies earlier evidence, prefer temporal_layering.","Temporal effects may be overcoded as operation_function when the text includes a visible recognition act.","both have prior positive examples","symmetric"
"perspective_assignment -> warrant_relation","Perspective, witness role, or testimonial position may be confused with incompatibility among multiple accounts as warrants.","Ask whether changing the speaker/testimonial position would change the annotation; if incompatibility among multiple warrants is dominant, use warrant_relation.","Perspective_assignment may be undercoded when multiple accounts make warrant conflict salient.","both have prior positive examples","symmetric"
"perspective_assignment -> operation_function","Confession or testimony can be treated as a visible operation or as standpoint-governed perspective.","Ask whether the function depends on the act of confessing/testifying or on whose perspective/testimonial role controls the annotation.","Perspective-governed testimony may be overcoded as operation_function when the speech act is prominent.","both have prior positive examples","symmetric"
"context_inference -> temporal_layering","Historical readability or later framing may be mistaken for external contextual inference.","Ask whether later readability is the decisive feature; if yes, use temporal_layering rather than context_inference.","Context_inference may be overused when temporal_layering provides the more specific explanation.","temporal_layering has prior positive examples; context_inference has no positive demo example","directional"
"context_inference -> warrant_relation","External or background context may be confused with interaction among warrants within the text.","Ask whether the local text contains interacting warrants; if yes, use warrant_relation. Use context_inference only when the missing contextual bridge is dominant.","Context_inference may be overused as a residual category for difficult warrant interactions.","warrant_relation has prior positive examples; context_inference has no positive demo example","directional"
