field_name,table,description,data_type,controlled_values,required,human_entered,system_generated,derived,privacy_sensitive,collected_at_stage,included_in_public_release,notes
annotation_id,core_annotations,Globally unique annotation record identifier,string,,yes,no,yes,no,no,all annotation stages,yes,Generated by system or study template
case_id,core_annotations,Case identifier,string,,yes,no,yes,no,no,all annotation stages,yes,Must match case assignment
parent_annotation_id,core_annotations,Human revision lineage parent identifier,string,,conditional,no,yes,no,no,second-pass stages,yes,Empty for independent records
actor_id,core_annotations,Pseudonymous participant ID or model actor ID,string,,yes,no,yes,no,yes,all annotation stages,no,Human actor IDs should be pseudonymous
actor_type,core_annotations,Human or model actor type,string,human|model,yes,no,yes,no,no,all annotation stages,yes,Controlled by schema
annotation_stage,core_annotations,Annotation workflow stage,string,human_pre|ai_independent|human_post_ai|human_second_pass_control|adjudicated,yes,no,yes,no,no,all annotation stages,yes,Controlled by schema
primary_evidence_segment_ids,core_annotations,Smallest directly supporting source segment IDs,list,string segment IDs separated by pipe,yes,yes,no,no,no,human-pre and second pass,yes,Human-entered for human records
function_label,core_annotations,Project-defined analytic category,string,project label vocabulary,yes,yes,no,no,no,human-pre and second pass,yes,No new Core field added
rationale_mechanism,core_annotations,Project-defined evidence-to-label connection,string,project mechanism vocabulary,yes,yes,no,no,no,human-pre and second pass,yes,No hidden cognition claim
uncertainty_flag,core_annotations,Submitted uncertainty level,string,low|medium|high,yes,yes,no,no,no,human-pre and second pass,yes,Uncertainty is acceptable
rationale_note,core_annotations,Short submitted justification,text,,yes,yes,no,no,yes,human-pre and second pass,conditional,Review for accidental identifiers before quotation or sharing
alternative_pathway_present,core_annotations,Whether another complete defensible pathway remains,string,yes|no,yes,yes,no,no,no,human-pre and second pass,yes,Conditional fields required if yes
alternative_mechanism,core_annotations,Alternative pathway mechanism,string,project mechanism vocabulary,conditional,yes,no,no,no,human-pre and second pass,yes,Required when alternative_pathway_present is yes
alternative_note,core_annotations,Short alternative pathway note,text,,conditional,yes,no,no,yes,human-pre and second pass,conditional,Review before quotation or sharing
status,core_annotations,Record status,string,draft|locked|superseded,yes,no,yes,no,no,all annotation stages,yes,Locked status alone is not cryptographic proof
pre_ai_annotation_locked,assistance_provenance,Whether pre-AI record was locked before exposure,string,yes|no|not_applicable,yes,no,yes,no,no,all stages,yes,Must align with stage
ai_output_exposed,assistance_provenance,Components of AI output shown,string,none|label_only|evidence_only|label_and_evidence|rationale_only|full_core_record|full_core_and_depth,yes,no,yes,no,no,second-pass stages,yes,Control must be none
exposure_order,assistance_provenance,Workflow exposure order,string,none|human_first|ai_first|control_second_pass,yes,no,yes,no,no,second-pass stages,yes,For pilot expected human_first or control_second_pass
interface_condition,assistance_provenance,Interface condition,string,independent|ai_review|control_review,yes,no,yes,no,no,all stages,yes,No treatment-effect wording
model_provider,assistance_provenance,Provider for model record,string,,conditional,no,yes,no,no,AI record,no,Required for AI records
model_name,assistance_provenance,Model name,string,,conditional,no,yes,no,no,AI record,no,Required for AI records
model_version_or_date,assistance_provenance,Provider version or date label,string,,conditional,no,yes,no,no,AI record,no,Do not fabricate provider internals
prompt_template_id,assistance_provenance,Prompt template identifier,string,,conditional,no,yes,no,no,AI record,no,Links to prompt manifest
prompt_hash,assistance_provenance,SHA-256 of prompt text,string,64 hex characters,conditional,no,yes,no,no,AI record,no,Generated from exact approved prompt text
system_prompt_hash,assistance_provenance,System prompt hash where available,string,64 hex characters or blank,optional,no,yes,no,no,AI record,no,Do not include hidden provider-private prompts
model_run_id,assistance_provenance,Model-run identifier,string,,conditional,no,yes,no,no,AI and exposed records,no,Must match exposed model run
retry_count,assistance_provenance,Number of model retries,integer,,yes,no,yes,no,no,AI record,yes,Pilot uses no retries
regenerated_output,assistance_provenance,Whether model output was regenerated,string,yes|no,yes,no,yes,no,no,AI record,yes,Pilot should be no
temperature_or_sampling,assistance_provenance,Sampling configuration text,string,,conditional,no,yes,no,no,AI record,no,Record only known settings
output_components_shown,assistance_provenance,AI output components displayed,text,,conditional,no,yes,no,no,AI exposure,yes,Should match exposure event
exposure_timestamp,assistance_provenance,Timestamp when AI output was shown,timestamp,,conditional,no,yes,no,yes,AI exposure,no,May be sensitive session metadata
post_edit_timestamp,assistance_provenance,Timestamp when post record was submitted,timestamp,,conditional,no,yes,no,yes,second pass,no,May be sensitive session metadata
changed_label,assistance_provenance,Participant-stated or interface-recorded label changed flag,string,yes|no|not_applicable,yes,no,yes,no,no,second pass,yes,Derived reports should not rely only on this
changed_primary_evidence,assistance_provenance,Participant-stated or interface-recorded evidence changed flag,string,yes|no|not_applicable,yes,no,yes,no,no,second pass,yes,Consistency checked against records
changed_rationale_mechanism,assistance_provenance,Participant-stated or interface-recorded mechanism changed flag,string,yes|no|not_applicable,yes,no,yes,no,no,second pass,yes,Consistency checked against records
changed_uncertainty,assistance_provenance,Participant-stated or interface-recorded uncertainty changed flag,string,yes|no|not_applicable,yes,no,yes,no,no,second pass,yes,Consistency checked against records
changed_alternative,assistance_provenance,Participant-stated or interface-recorded alternative changed flag,string,yes|no|not_applicable,yes,no,yes,no,no,second pass,yes,Consistency checked against records
exposed_ai_annotation_id,assistance_provenance,AI annotation shown to human-post record,string,,conditional,no,yes,no,no,human-post-AI,yes,Must reference existing AI record
exposed_model_run_id,assistance_provenance,Model run shown to human-post record,string,,conditional,no,yes,no,no,human-post-AI,no,Must match AI provenance model_run_id
self_reported_revision_reason,assistance_provenance,Participant selected revision reason,string,ai_identified_missed_evidence|ai_clarified_category_boundary|ai_confirmed_original_judgment|ai_persuaded_interpretive_change|changed_after_rereading_not_ai|rejected_ai_output|mixed_or_unclear|other|not_applicable,yes,yes,no,no,yes,after second-pass record,conditional,Self-report is not proof of adoption
self_reported_revision_note,assistance_provenance,Short note when other selected,text,,conditional,yes,no,no,yes,after second-pass record,no,Required when other is selected
prior_access_to_other_annotations,assistance_provenance,Whether participant had prior access to other annotations,string,none|disclosed|unknown,yes,yes,no,no,yes,screening,no,Use contamination screen
lock_status,assistance_provenance,Provenance lock status,string,draft|locked|superseded,yes,no,yes,no,no,all stages,yes,Must align with Core status
exposure_event_id,exposure_events,Unique exposure-event identifier,string,,yes,no,yes,no,no,AI exposure,yes,Supports future multiple exposure events
human_post_annotation_id,exposure_events,Human-post record linked to exposure,string,,yes,no,yes,no,no,AI exposure,yes,Must reference human_post_ai
human_pre_annotation_id,exposure_events,Locked pre record linked to exposure,string,,yes,no,yes,no,no,AI exposure,yes,Must reference parent pre record
ai_annotation_id,exposure_events,AI annotation displayed,string,,yes,no,yes,no,no,AI exposure,yes,Must reference AI independent record
exposure_sequence,exposure_events,Order of exposure events,integer,,yes,no,yes,no,no,AI exposure,yes,One event expected in pilot
lock_manifest_id,lock_manifest,Unique lock-manifest row identifier,string,,yes,no,yes,no,no,locking,no,Generated by system
canonical_record_sha256,lock_manifest,SHA-256 of canonical Core payload,string,64 hex characters,yes,no,yes,no,no,locking,no,Cryptographic lock value
locked_at,lock_manifest,Timestamp when lock created,timestamp,,yes,no,yes,no,yes,locking,no,Preserved for audit
locked_by,lock_manifest,System or operator creating lock,string,,yes,no,yes,no,yes,locking,no,Should avoid real names if public
participant_id,participant_background,Pseudonymous participant identifier,string,,yes,no,yes,no,yes,screening and session,no,No legal name
age_18_or_older,participant_background,Adult confirmation,string,yes|no,yes,yes,no,no,yes,screening,no,Required eligibility field
primary_language,participant_background,Primary reading language,string,,yes,yes,no,no,yes,background,no,Collect only for feasibility interpretation
other_reading_languages,participant_background,Other reading languages,text,,optional,yes,no,no,yes,background,no,Optional or prefer not to answer
highest_relevant_education,participant_background,Relevant education level,string,secondary|undergraduate|graduate|professional_or_equivalent|prefer_not_to_answer,optional,yes,no,no,yes,background,no,Avoid unnecessary demographics
interpretive_analysis_familiarity,participant_background,Familiarity with interpretive analysis,string,none|some|moderate|extensive,yes,yes,no,no,no,background,no,Feasibility covariate only
annotation_experience,participant_background,Prior annotation or coding experience,string,none|some|moderate|extensive,yes,yes,no,no,no,background,no,Feasibility covariate only
prior_generative_ai_use,participant_background,Prior use of generative AI,string,yes|no|prefer_not_to_answer,yes,yes,no,no,yes,background,no,Minimal AI background
generative_ai_use_frequency,participant_background,Frequency of AI use,string,never|less_than_monthly|monthly|weekly|daily_or_near_daily|prefer_not_to_answer,yes,yes,no,no,yes,background,no,Feasibility interpretation
source_text_familiarity,participant_background,Prior familiarity with selected texts,string,none|vague|read_before|studied_closely,yes,yes,no,no,yes,background,no,Contamination context
study_hypothesis_awareness,participant_background,Prior knowledge of study hypothesis,string,none|general_awareness|detailed_awareness,yes,yes,no,no,yes,screening,no,Contamination context
accessibility_needs,participant_background,Accessibility needs for session,text,,optional,yes,no,no,yes,screening,no,Handle separately from public data
revision_reason,revision_reasons,Participant selected revision reason,string,AI identified evidence I had missed|AI clarified a category boundary|AI confirmed my original judgment|AI persuaded me to change my interpretation|I changed after rereading rather than because of AI|I rejected the AI output|mixed or unclear|other|not applicable,yes,yes,no,no,yes,after each second pass,conditional,Self-report only
revision_reason_other_note,revision_reasons,Short note when other selected,text,,conditional,yes,no,no,yes,after each second pass,no,Review for identifiers
core_instruction_clarity,burden_comprehension,Clarity of Core instructions,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
primary_evidence_difficulty,burden_comprehension,Difficulty selecting primary evidence,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
function_label_difficulty,burden_comprehension,Difficulty selecting function label,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
rationale_mechanism_difficulty,burden_comprehension,Difficulty selecting rationale mechanism,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
uncertainty_difficulty,burden_comprehension,Difficulty using uncertainty,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
alternative_decision_difficulty,burden_comprehension,Difficulty deciding whether alternative exists,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
rationale_note_effort,burden_comprehension,Effort required for rationale note,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Participant-facing feasibility item
fatigue,burden_comprehension,Fatigue during task,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,yes,end of session,no,Burden indicator
perceived_repetition,burden_comprehension,Perceived repetition,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Burden indicator
ai_difficult_to_ignore,burden_comprehension,Whether AI output felt difficult to ignore,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,yes,end of session,no,Self-report only
ai_helpful,burden_comprehension,Whether AI output felt helpful,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,yes,end of session,no,Self-report only
ownership_final_judgment,burden_comprehension,Participant felt ownership of final judgment,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,yes,end of session,no,Self-report only
copied_wording_self_report,burden_comprehension,Participant reports copying wording,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,yes,end of session,no,Not objective proof
ai_not_answer_key_comprehension,burden_comprehension,Participant understood AI not answer key,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Comprehension item
longer_version_willingness,burden_comprehension,Willingness to complete longer version,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,yes,end of session,no,Burden planning
attention_check,burden_comprehension,Attention check response,Likert,Strongly disagree|Disagree|Neither|Agree|Strongly agree,yes,yes,no,no,no,end of session,no,Expected response is Agree
confusing_fields_open,burden_comprehension,Open response on confusing fields,text,,optional,yes,no,no,yes,end of session,no,Review for identifiers
unnecessary_fields_open,burden_comprehension,Open response on unnecessary fields,text,,optional,yes,no,no,yes,end of session,no,Review for identifiers
missing_information_open,burden_comprehension,Open response on missing information,text,,optional,yes,no,no,yes,end of session,no,Review for identifiers
procedural_question_count,session_log,Number of procedural questions,integer,,yes,no,yes,no,no,during session,no,Do not include interpretive advice
completion_time,session_log,Completion time if approved,duration,,optional,no,yes,no,yes,during session,no,Timing collection requires approval
review_time,session_log,Second-pass review time if approved,duration,,optional,no,yes,no,yes,during session,no,Timing collection requires approval
protocol_deviation_id,protocol_deviations,Protocol deviation identifier,string,,conditional,no,yes,no,no,during session,no,Use if deviation occurs
protocol_deviation_type,protocol_deviations,Type of deviation,string,,conditional,no,yes,no,no,during session,no,Describe without real names
protocol_deviation_note,protocol_deviations,Short deviation note,text,,conditional,no,yes,no,yes,during session,no,Review for identifiers
notes,templates,Generic template note field,text,,optional,no,no,no,conditional,template-dependent,no,Used in frozen templates; should not contain real participant data
